timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix)
1478106834.31,-2.862424,1.518570,0.776161,0.264461,-3.158029,-2.401581,-0.014385,-0.998637,0.050181,-2.471867,-2.204962,-0.626490,-19.621229,-32.992058,-14.515635,,,,,,
1478106834.33,-2.101079,1.514486,-0.058582,-2.184739,-3.728039,3.555653,-0.048551,-0.998415,0.028465,-3.953356,-3.205030,-0.432823,-19.621229,-32.992058,-14.515635,,,,,,
1478106834.35,-1.428223,1.504106,-0.819924,-1.481900,-2.974223,0.136704,-0.065965,-0.997777,-0.009469,-6.059707,0.600286,-0.854529,-21.217913,-32.591133,-13.106882,,,,,,
1478106834.37,-1.252974,1.477390,-1.043525,-1.137312,-2.654915,1.275191,-0.088600,-0.995641,-0.029147,-1.598549,0.299352,0.184192,-23.512938,-31.263220,-12.406648,,,,,,
1478106834.39,-1.324566,1.300156,-1.026055,-2.862032,-3.110078,14.355749,-0.259285,-0.963600,-0.065166,-2.896156,0.107063,0.042232,-23.512938,-31.263220,-12.406648,,,,,,
1478106834.41,-1.323192,1.174997,-1.015564,0.464968,1.732955,3.163997,-0.373787,-0.922689,-0.094490,-2.579856,1.210103,-0.927605,-29.698532,-25.646542,-12.017662,,,,,,
1478106834.43,-1.303347,1.104443,-0.991976,-0.770434,1.511107,3.728643,-0.433647,-0.893214,-0.118825,0.545585,0.552851,0.155004,-32.823662,-20.418995,-13.778392,,,,,,
1478106834.45,-1.318277,1.039327,-0.991074,-0.955426,-1.479517,3.326949,-0.490727,-0.862064,-0.126621,0.069615,-0.104581,0.308857,-32.823662,-20.418995,-13.778392,,,,,,
1478106834.47,-1.350210,0.962039,-0.987409,-0.582390,-1.399053,3.807112,-0.557992,-0.820359,-0.125121,-0.204017,-0.156508,-0.416657,-34.639484,-16.681631,-14.352751,,,,,,
1478106834.49,-1.392097,0.896036,-0.969385,0.169445,-1.307098,3.048725,-0.614762,-0.780857,-0.111042,-0.835494,-0.576596,-0.149807,-36.844410,-12.441882,-13.109583,,,,,,
1478106834.51,-1.433946,0.849690,-0.933022,1.070384,-0.173367,2.137417,-0.654044,-0.751076,-0.090069,-0.982889,-1.214562,0.080883,-36.844410,-12.441882,-13.109583,,,,,,
1478106834.53,-1.456138,0.817807,-0.885750,1.631083,1.125250,1.719961,-0.679333,-0.729648,-0.078234,-0.382572,-2.923566,0.131335,-38.079201,-9.611073,-11.906896,,,,,,
1478106834.55,-1.480961,0.796874,-0.821298,2.425314,0.778464,0.324353,-0.696127,-0.715174,-0.062706,1.279883,-3.223928,-0.126290,-38.238403,-8.136141,-12.481979,,,,,,
